Hotel Name,Date,Person's Name,Review
"Sheraton Grand Palace, Indore. MP",Nov-20,Archana Dave,"Recently had the pleasure of staying in opulent luxury, at the Sheraton Grand, The place is amazing, considering the COVID times, management has taken all possible precautions to make your stay very comfortable. The lobby is neat and cool, the staff are extremely gracious, we were welcomed by Mr. Tejas and Ms. Athira, both are naturally welcoming and once you enter the hotel they ensure your entry to stay is made comfortable and wonderful"
,,,
"Le Meredien, Jaipur Resort",Apr-21,Harjiv Rekhi ,"What a property and top notch eye for detail by the staff. Right from the check in to the overall experience this has been one of the best holidays ever !! Proper Covid protocols followed, cleanliness all around, staff interacting with you always are highlights that one can't forget."
"Le Meredien, Jaipur Resort",Feb-21,,"Yes ,we visited twice ,when we first came the welcome was good,rooms were nice ,but when we visited the second time ,we were alloted with room ,but next day the marriage was there ,so no protocol was been followed,No covid norms were been followed, too much of crowd was there for breakfast and the party was without the mask and No one was taking care of it ,frankly speaking at this time of covid pandemic, I didn't expect such a No protocol to be followed by the staff .Had a ok experience. Shaifali"
"Le Meredien, Jaipur Resort",Feb-21,Arpit S,Mesmerising experience ..stunning hotel...delicious food with professional service...COVID precautions taken well by house keeping...Harsh at front desk superbly humble and dedicated. Had an amazing time there thanks a lot!
"Le Meredien, Jaipur Resort",Jan-21,Avantica,Stayed for a short weekend staycation. The rooms etc were very responsibly sanitised. very well managed. The property is beautifully done up. Some of the other guests were unfortunately not taking precautions and wearing masks etc. I think we should all take the responsibility of following the safety protocols. The hospitality of the staff was absolutely wonderful.
"Le Meredien, Jaipur Resort",Oct-20,Rupen M,"Nice Stay. Staff Devtanth and others were very courteous. The chef was also good. Overall the resort is nice. They were also maintaining social distancing, hygiene etc.Would definetely reccomend for a holiday in Jaipur"
,,,
Ramada by wyndham Udaipur,Jun-21,,"Wowww.. What an amazing experience. Beautiful stay with ramada.. Full Participation for COVID protocol. Right from check in, room's Sanitisation, restaurant service, housekeeping assistance everything was excellent. Food are delicious.. Spl thanks to myra team jhutan and vishal."
Ramada by wyndham Udaipur,Jun-21,Misha Patel ,"We had a safe trip with all sanitations and care, and the staff named Bhagwati Rai she had a superb nature with a good accent and helped us a lot"
Ramada by wyndham Udaipur,Apr-21,Shah,"We chose Ramada to Stay and enjoy our trip. We found everything perfect from Check in to check out. Specially they are following all COVID guidelines also. Staff members Sarbjeet, Nasheen was very Professional and humble. Our room was very spacious with a large balcony. A lot of varieties in food. Overall nice place."
,,,
Pride Plaza Hotel Kolkata ,Mar-21,Archie,"Best services received. The staff was very friendly. Food was good. We had this booked under emergency, still the entire process was seamless. The beddings as mentioned is kept clean and sanitised, staff had all followed the covid protocols. That being our primary concern during the pandemic"
Pride Plaza Hotel Kolkata ,Apr-21,Chandreyi S,Visited for the first time with my friends....had a lovely time...good food good ambience...neat n clean specially in such covid situation....well maintained....variety of food good...tastes good ..loved it nice staff
Pride Plaza Hotel Kolkata ,Jun-21,,In this pandemic situation this property has maintained all protocols and norms. Well sanitised property with clean ambience all over. Staff is well behaved. Shovik and Vishal at the front desk did everything flawless. Special thanks to Shovik for his proactive approach and hospitality.
,,,
"Hilton, Mumbai International Airpot",Apr-21,Aniket,"Covid rules and restrictions are followed without any errors. Overall very safe for family to spend a day off, relax and rejuvenate from city's hustle bustle."
"Hilton, Mumbai International Airpot",Apr-21,Munawar Karbelkar,The increasing number of Covid cases has increased the safety concerns specially for the people who wants to pamper their Taste buds regularly. With this worry in mind we were looking for a place safe enough for family for lunch or dinner …
"Hilton, Mumbai International Airpot",Feb-21,Manish “Travel Bug”,This place is awesome very clean and all staff is very cooperative. All covid safety has been taken care. If your visiting this place don’t forgot to install Arogya Setu App.
,,,
The Leela Mumbai,May-21,DIVYA Kotian,They are maintaining all the guidelines for safety. We were upgraded from city facing room to pool facing with views …
The Leela Mumbai,Feb-21,vinit,it was a wonderful experience to stay here during covid times. They have taken care of all safety measures and are providing the best service possible in current times.
,,,
Radisson Blu Mumbai International Airport,Jun-21,Captain Rider,I was staying here in quarantine for 15 days before flying out of India. We were not allowed to exit our room due to strict quarantine rules.
,,,Whatever we need was provided inside the room by the staff.
,,,The food was great and served on time …
,,,
"The Park, Vishakhapatnam",Jan-20,Rounak Santra,Good clean rooms. Awesome location. Awesome food. But poor service. Felt the staff are too busy to make our stay hospitable enough.
,,,
Four Points by Sheraton Vishakhapatnam,Jan-21,Sai Rahul,… I have ever seen. The hospitality and ambience of this hotel is simply remarkable. The follow all hygiene and covid protocols to assure safety to their customers. I happened to visit this hotel on the ocassion of diwali and I was very …
Four Points by Sheraton Vishakhapatnam,Nov-20,KOLLA,very nice to stay here. well maintaining safety precautions to avoid Corona. good breakfast. feeling little costly in food items.
,,,
Radisson Hotel Varanasi,Nov-20,stuti sinha,"… really wished to see more options in the buffet breakfast but I think the cost cutting was because of the current situation of Covid-19. Nonetheless, the taste of the food was great. I recommend it to all those who want a safe stay in VNS."
,,,
Courtyard by Marriott Agra,Jan-21,Anjali Kulshrestha,They hve parking facility and maintain all the safety measures.
Courtyard by Marriott Agra,Mar-21,Alok Awasthi,"… of cleanliness, finest dining experience and an adorable staff behaviour. They are following Covid protocols in right earnest and ensuring that the guests are absolutely safe in all aspects. Can't wait to visit again........ and again."
Courtyard by Marriott Agra,Mar-21,Sunny Mathur,"Pleasant memories with Marriott Agra, supportive staff, nice ambiance, nice food and service. Rooms were very comfortable. Strong security, they follows covid protocol."
,,,
The Oberoi Sukhvilas Spa resort,Sep-20,Akanksha Gupta,The stay was excellent. Food was delicious with full variety for kids as well. With complete safety measures. Number of activities for kids to keep them engaged. Superb rooms. Everything was superb.
,,,
Hyatt Regency Lucknow,Jun-21,Nisha Thukral,Very courteous and cooperative staff. Dull due to covid restrictions. Good precautions for covid. Safe and good stay
Hyatt Regency Lucknow,Jan-21,Reema Sharma,"They deserve all the stars. I stayed in the month of Aug’20 peak of corona time they were super careful about following safety norms. Staff was helpful, courteous and above all they understood the term pandemic very well and executed all …"
,,,
The Lalit Goa and Spa Resort,Feb-21,pooja gururaj,"The property is vast and well-maintained. The covid protocols are strictly maintained. Love the rejuve spa here, especially Mr.Sandeep's warm hospitality. The beach shack could use some upgrade as there are other shacks in goa that are much …"
The Lalit Goa and Spa Resort,Apr-21,Vineet Harbhajanka,… our first trip after Covid and the first one for our daughter.
,,,"They gave us a filthy room and were not only unapologetic but also annoyed when my wife complained. After repeated tries, they convinced to move to a different room after 3 …"
,,,
The Park Mumbai,Apr-21,G N Kapadia,Took a one night break at The Park with family. Had lunch at the Meishi restaurant. Food was excellent. Rooms are also tastefully done up. Good Covid protocols maintained. Two thumbs up for both....I'd surely recommend to all.
,,,
"Double Tree by Hilton, Ahmedabad",Jun-21,Chandu S Raj,I stayed for 10 days. Actually the stay was really good. The managemnt and staff are taking special care even in this pandemic time. Suggestion - Provide alternate drinking water companies
"Double Tree by Hilton, Ahmedabad",Jun-21,Urvish Patel,Lunch was good....specially ..Thai curry...was fantastic and great to have it once more Great hospitality by Praful..! Thank you. The room were sanitized and deeply clean Thanks a lot for great hospitality. 3rd visit but many more to come
"Double Tree by Hilton, Ahmedabad",Jun-21,Tarun Goswami,it has been a amazing stay rooms were clean and sanitized food in restaurant was great and i ordered food in room that was more than amazing... wish to come back very soon regards to Prafful and Hemati for accommodating with early checkin. so thankful of you guys
"Double Tree by Hilton, Ahmedabad",Jun-21,,It has been a remarkable stay with Double tree by Hilton Ahmedaba. The hospitality was on the top . Rooms were highly sanitised . Thanks housekeeping team . Special thanks to Prafful and Shantanu
"Double Tree by Hilton, Ahmedabad",Jun-21,V Joshi,It was delightfull stay with good hospitality and good ambience. The staff is very cooperative and service is excellent. They are following all the covid protocols as per requirement
"Double Tree by Hilton, Ahmedabad",Jun-21,Sumit Arora,Overall it was a company stay . But the Hospitality was on the top Ambience of the hotel is great Rooms are well sanitized People around are so friendly
"Double Tree by Hilton, Ahmedabad",Jun-21,Ananya Srivastava,The hotel is one of the top hotel in Ahmedabad Services in the hotels is excellent and we'll managed during this time . Room are well sanitize and restaurants ambience is lovely
,,,
Renaissance Ahmedabad,Jun-21,Vishal Mehta,Great experience. Looking at rock bottom prices due to pandemic but the extravagance and complimentary breakfast make up for it.
Renaissance Ahmedabad,Jun-21,Jaimin Patel,Very nice and cool experience Also covid-19 protocole Enjoyed it... Food excellent Cleaning excellent Restaurant excellent
Renaissance Ahmedabad,Jun-21,Sunil ,The hotel is extremely well sanitized and maintained. The staff here are very welcoming such as Shubham Saroj and Os. Would definitely recommend staying here with family. The food and service is also excellent. Very comfortable stay at this hotel
Renaissance Ahmedabad,Jun-21,Pradeep,"Excellent hospitality, good food, Good rooms to stay in, the sanitization was maintained. Housekeeping and service staff was also extremely kind"
Renaissance Ahmedabad,May-21,Jitesh J,The hotel rooms were very spacious and clean. All the needed things were available in the room. The Chinese chef was very kind and he served us a new type of dish which was not in the menu.There was all safety measures and social distancing. Our stay was nice and memorable
Renaissance Ahmedabad,Apr-21,Nayant Savani,Just off SG Highway this Modern Hotel has the markings of a truly international brand. The Lobby is minimalistic and rooms are just adequate. I was upgraded to suite with a bedroom and bathroom and the front room with powder bathroom. All amenities are adequate. The Hotel has enough of safety protocols in place with the sanitisation and mask being used widely. The staff is young and eager to work
,,,
"Lemon Tree Premier. The Atrium, Ahmedabad",Oct-20,Swagata,I had an Amazing n lovely experience here.. stay was very comfortable.. all d staff were very helpful n not to forget courteous n humble too.. thank you so much for all your efforts and hard work during these challenging time in Covid.. hats off to you guys...
"Lemon Tree Premier. The Atrium, Ahmedabad",Oct-20,Priyanka J,"The hotel is not too far away from the airport just 15-20 mins drive. It was clean and very disciplined. The staff were very courteous, well mannered and the service was always on time. A must stay here"
"Lemon Tree Premier. The Atrium, Ahmedabad",Aug-20,Barinder S,I have been a regular visitor to this Property from last 3 years. I have visited this place first time in Covid times. As usual excellent attitude and service even post midnight and having critical shortage of staff. Would like to thank everyone especially Aashika and Dharmender for their ever smiling service. Always love to visit the place.
"Lemon Tree Premier. The Atrium, Ahmedabad",Jul-20,Zaheera Suleiman,"This hotel handled the Covid19 lockdown so well and helped make us feel safe and cared for. The room was spacious, clean and beautifully decorated. The hotel staff had great customer service and understanding during this difficult time. Location was great for our purpose. Would return when visiting family in the area again."
,Jun-20,Zainab S,Stayed at this hotel during the Coronavirus related lockdown - each and every member of staff treated us with such courtesy and ensured our comfort despite facing a difficult situation themselves. Extremely grateful to every single member of the Lemon Tree team at this extremely distressing time
,,,
"WOW Hotel, Indore, MP",May-21,Rajiv K,"During covid times as well, this hotel is the best taking santization and all the covid guidelines, would recommend the hotel for stay, staff is courteous and very helpful"
"WOW Hotel, Indore, MP",May-21,Anshul B,"The stay was awesome, nice and hygienic during these tough times, the staff is extra helpful and they are trying there level best to meet and exceed expectations of the guests. From room service to lobby and cleaning everyone is well masked and taking precautions and always a smile behind mask. Definitely recommended and cant wait to get back"
"WOW Hotel, Indore, MP",May-21,Saiyam Khandelwal,"Wow was my first visit and loved it. You will be well taken care from entering into the hotel till your check out. Manager like Mr Abhishek is well professional and will take good care of your stay. Felt safe always as the Hotel follows the COVID protocols, sanitises the room and all the areas"
"WOW Hotel, Indore, MP",May-21,Sumair Singh,"Had a very good and comfortable stay. Ambience, Food etc was excellent. Keeping Covid in mind, hotel was up to the mark to all the protocols and made us feel safe and at ease. Will surely stay whenever next in Indore."
"WOW Hotel, Indore, MP",May-21,Paresh Bansal,"Great hotel, centrally located ADITYA and team thanks for upgrade And warm welcome, nice in house dining service. Great hotel and staff is very friendly and all precautions taken at this pandemic time. Safe hotel to stay"
"WOW Hotel, Indore, MP",May-21,Piyush ,The hotel provided all the necessary facilities. The breakfast was served in the room avoiding crowded restaurant. Hotel is following all the necessary guidelines of covid 19.
,,,
"Clarks Khajuraho, MP",Apr-21,DivXena,Though the pandemic has hit the travel industry quite bad but it haven’t affected the warmth and courtesy of people in it. The staff here is extremely helpful and was ensuring at every step with the Covid protocols. We had a pleasant stay along with our little kids. It’s a huge and beautiful property which is managed quite well. Staff obliged to our smallest of needs especially because of little ones.
"Clarks Khajuraho, MP",Apr-21,Kishlay,"Place is just awesome stay was superb clarks khajuraho is one of the best hotels with great ambience, greenery, very well hygiene maintained pool especially during covid. friendly staff."
"Clarks Khajuraho, MP",Apr-21,Kishan M,"We stayed at this hotel for a full day in april 2021 , Covid guidelines were being followed magnificently , food was good , ambience was excellent , cleaning was up to the mark"
"Clarks Khajuraho, MP",Mar-21,Sunayana,"Had an amazing stay at the clarks khajuraho. The hospitality was great, rooms were comfortable, and proper precautions were taken looking in to the COVID situation 🙂 Would love to visit again ! Happy"
"Clarks Khajuraho, MP",Dec-20,Kamal,"Nice and humble, hospitality provided by the expert team. Well arranged sight seeing nearby. Cleanliness is well maintained according to covid guidelines. Awesome stay."
,,,
"Rambagh Palace, Jaipur, Rajasthan",May-21,,Went on the weekend for a family dinner. The service was exceptional as expected. Full precautions and sanitisation were in place and the environment felt very safe.
"Rambagh Palace, Jaipur, Rajasthan",Jun-21,Himanshu G,"Best Place to Have Food, Safe and Stumptous.It has been a great experience whenever we have visited Rambagh Palace They make you feel special and really comfortable. Safety norms are properly followed."
"Rambagh Palace, Jaipur, Rajasthan",Jun-21,Deepak,"We stayed 3 nights. Due to Covid-19 most of the facilities like Swiming Pool, Gym and restaurant was closed. Only Rajput Room & Varandah Restaurant was open, with open dinning arrangementHotel does follow Covid-19 guide line as per Rajasthan Govt Laws. Rooms were sanetized, Wet wipes, and face mask are provided every day. I like most behaviral approch to wards awareness of Covid-19, when Rajput room restaurant staff sanetized our hands and provided seperate envelope to keep our mask safely."
"Rambagh Palace, Jaipur, Rajasthan",Jun-21,Yashvardhan,"Our stay at the rambagah palace was amazing. Despite there being a pandemic, the staff at the palace were very helpful. We were helped by mister Karen singh and he was really great. His knowledge about the palace was extraordinary and very helpful. I would like to come back and enjoy a full rambagah once."
"Rambagh Palace, Jaipur, Rajasthan",Apr-21,Nandini B,"The staff, food, service , everything was par excellence .Each peron working there went out of their way to make our stay comfortable. Specially in the times of covid , it was heartening to see the precautions they were taking and constantly sanitising everything . We can’t wait to go there again !Thank you Rambagh for this memorable holiday."
"Rambagh Palace, Jaipur, Rajasthan",Apr-21,Divya Goyal,Extremely polite staff it was sheer pleasure staying at rambagh majestic royal no words to describe the grandeur and staff service of rambagh It’s is impeccable Covid regulations all followed Loved the Rajasthani thali.
,,,
"Clarks Amer, Jaipur, Rajasthan",Feb-21,Usha Thalathati,"Fabulous Hospitality and wonderful Ambience.. Hygienic food served.. Precautions for Covid to provide safe stay.. Gym, Pool, Banquet halls and garden areas for all types of events.. Must stay for a beautiful experience!!"
"Clarks Amer, Jaipur, Rajasthan",Dec-20,Shabnam Chauhan,"Great service from arrival to departure. All the required during this covid-19 practices were strictly followed.safty and hospitality is very excellent,room are clean,and special thanks to jitendra Sharma who helped alot..."
"Clarks Amer, Jaipur, Rajasthan",Dec-20,Sharan,We came here for wedding we stayed for 3 night it was a perfect stay food was very tasty beautiful hotel and rooms are perfectly fine in this pandemic every thing was sanitize properly .
"Clarks Amer, Jaipur, Rajasthan",Dec-20,Rahul,Amazing hospitality and amazing property to stay near to the city center we were upgrade to the penthouse by the front office associates Ms farheen amazing food and stay at this property during covid situation well sanitation of the room and wide spred to breakfast was simply amazing would rate 5/5
"Clarks Amer, Jaipur, Rajasthan",Dec-20,Gaurav,"Visited this property recently with my friends . It was a great stay! People at the reception were good . Check in was done very quick and we were given a club room, all the hygiene standards were followed snd maintained! Kudos ! Will visit again !"
,,,
Radisson Blu Guwahati,Jun-21,Shivam Garg,Rooms are very nice but food quality not up to the mark . I found radisson blu delhi food far much better than Guwahati radisson . Sanitised well cleaned room and the amenities were undoubtfully amazing
Radisson Blu Guwahati,Apr-21,Yash,"Experience comfort and hospitality at its absolute best in, Guwahati. all staff is very good & cooperative specially jupitara, gourav singh( duty manager) pintu , dev ashish .. breakfast is also very impressive & tasty . And the most imp thing is that they have well maintained the covid 19 welfare."
Radisson Blu Guwahati,Feb-21,Mihir,My friend Deepak Mohanty stayed in hotel for 2 nights as per his experience was excellent and staff members are very good also hotel following covid 19 protocols. Overall facility provided by hotel is excellent.
Radisson Blu Guwahati,Feb-21,Nazareth Cinetra,"Very well maintained and of high standard of hygiene maintained by the hotel. A must place to visit. Very cordial staff. Food is amazing, the rooms are clean and neat, overall an amazing experience. Do visit"
Radisson Blu Guwahati,Dec-20,Manashi P,"Excellent service and all covid precautions taken and safe to go. Enjoyed my lunch there with my parents today without any worries of covid as distanced seating, everyone wearing masks and very polite and warm behaviour of staff. Thanks Radisson Blu, keep it up :)"
,,,
Hilton Bangalore,Jun-21,Sanskar S,"The staff was really friendly and welcoming, really enjoyed the hospitality. Food was delightful and the servings and the front desk staff was all following covid guidelines which was a very welcome change from other places,keep up the good work"
Hilton Bangalore,Apr-21,,"I have been staying long back in Hilton Our rooms are good and service from Jacob is Good he is the person Who take care of us, and he always ask abou our stays and our needs. Everyone following social distancing norms. It was safe and hygienic."
Hilton Bangalore,Mar-21,Ankan Dutta,Excellent service. Housekeeping and breakfast was top notch. Srinivas sir especially take great care during our 1 week stay. Cleaning done daily. No issue during COVID 19. Every protocol being followed properly.
Hilton Bangalore,Feb-21,Deeps H,"We stayed here for 4 nights. Hygienic and clean maintenance both inside and outside the room. Our suite was facing the swimming pool. Breakfast was awesome with great selections. Some places like kid’s play area, lounge were closed due to Covid. All the staff go extra mile to make the guests comfortable."
Hilton Bangalore,Feb-21,Shah,"Pool side ambiance, restaurant with variety of options & away from packed crowd, especially in these times! Ideal for Family & friends get together They abide by all the safety measures. Great staff too"
Hilton Bangalore,Jan-21,Prateek,Loved the lunch buffet spread and extremely efficient service. Extremely hygienic and safe with interesting indigenous santiser stations across the restaurant at various touch points. Very clear mandate to keep wearing the masks at all times to the guests other than when we are eating :) Big Shoutout to Krishan - F&B staff at the Ministry of Food who was constantly engaging with all the guests while attending to their needs promptly.
,,,
Vivanta Bengaluru,Jun-21,Gokul ,"Pleasant stay and excellent service. Thanks to the whole Vivanta team. Especially the house keeping staff Mr. Gugan service was awesome. Thanks a lot for cleaning and sanitising on demand. No questions over food, it was undoubtedly fantastic and the whole team helps to fulfil our requirements"
Vivanta Bengaluru,Jun-21,Shalini Sampath,The rooms were cleaned daily and completely sanitised. Staff here are really helpful and friendly. Food is really tasty. A safe and best option to go for during a pandemic I have recommended my friends this place too
Vivanta Bengaluru,May-21,Ram,The stay was very comfortable indeed. Staff was very courteous and polite. Due to the covid situation breakfast was served in the room. The breakfast included both continental and desi. Rooms were pretty clean
Vivanta Bengaluru,Apr-21,Guru,"During this pandemic times, rest assured that the safety standards are maintained. Excellent service, yummy food and a lovely surprise. Thanks to Dayanish for well coordination and support to book the table on our special occasion with short notice"
Vivanta Bengaluru,Apr-21,Jaya,"Have stayed last week in Vivanta Whitefield, Bangalore for a family function. Really liked the place. Everything was well maintained and all COVID protocols were followed, Right from the sanitisation of our luggage to the check in process, lift lobbies and the rooms. Breakfast Buffet spread was really good."
Vivanta Bengaluru,Mar-21,Avinash Chandra A,"Though not our first stay over, we were highly impressed by the hospitality extended by the reception staff, particularly Ms.Aijaz who checked us in and Ms. Merlin who checked us out. Both were incredibly helpful, efficient, and warm. The hotel continues to maintain all the Covid 19 protocols, hygiene and sanitizing of rooms. Meals had at the restaurants Terracotta (serving breakfast) and Latitude (dinner) were delicious. Understandably with scaled down staff, service was slow"
,,,
"Denissons Hotel, Karnataka",Oct-20,Dr Javeed Rashed ,"Happened to visit their restaurant Cafe De Luxuria and found the ambiance to be good. The place was very neat and tidy and they had taken all precautions especially during the pandemic.Their service was very courteous right from the doorman to the lobby , the staff and those in the restaurant"
,,,
The Tamara Coorg (Karnataka),Jan-21,Sheejal Maskara,We went to Tamara on out second anniversary. During covid times the resort was safe and they maintained all the necessary precautions. Our cottage was just above the waterfall so we had this amazing sound of it. The food is good plus the staffs are courteous. You will just fall in love with the nature during your stay
,Feb-21,,"We ventured out after a year and glad we chose Tamara as it certainly is one of the best resort in Coorg. Right from the checkin experience , the small steps to take care and also the food is top notch. Special kudos to Akhilesh from the restaurant wing-he went really out of his way to make sure we are well looked after wrt the food dept. He made sure that even gluten free and vegan options were made available to us If I can just point out one area of improvement it would be sanitizing the restaurant table and chairs a bit better and frequent change of gloves for the servers - considering the strange times we are living it - That would make the guests feel more comfortable I am sure."
,,,
"Four Seasons Hotel, Bengaluru",Feb-21,Sreekanth Reddy,What makes this place even more special are the staff who were very generous with their time and were always ready to go out of the way to make our stay as comfortable as they can. Various safety measures are in place in response to COVID here.The rooms were sanitized The level of cleanliness for covid was above and beyond. To feel safe during covid is hard to do and they’ve done it!
,,,
"Taj West End, Bengaluru",Jun-21,Rakesh Daga,Everything was just right. Stay was very good and enjoyed with the available facilities during pandemic time. All staff were masked and safety was maintained at the property. Overall nice experience. :)
"Taj West End, Bengaluru",May-21,Arshia,The impeccable Taj service which made us feel so safe and secure and the fact that the team went all out to ensure the food was outstanding and the rooms sanitised with all protocols It’s hard for hotels to survive in these unprecedented times but hats off the Taj they have not lost the Tajness they are known for.
"Taj West End, Bengaluru",May-21,Satyajieet Patil,"Worst Service, Rude Staff ! I agree there are restrictions due to Covid , but I was terrified by the experience. I am a regular Taj customer, with Taj Innercircle Gold Membership. 1. Room was not clean, body wash and shampoo bottles were not sealed and were half used. 2. I needed some print outs but their printer was not working, and they couldn't give me any solution finally I had to go out of hotel and take print outs. 3. My guest were not even allowed to enter the hotel premises. 4. While I was having a morning jogging, and was alone in whole area, one senior staff rudely shouted at me to wear mask. 5. Restaurant experience was pretty good, as a steward named Jodha was taking care of all the guests nicely."
"Taj West End, Bengaluru",May-21,Arjun ,"The rooms are extremely clean. The main room is quite spacious. There is a separate room with a work table too. They do not clean the room during our stay, which is totally understandable since we are in the middle of a pandemic. This was not an issue at all as the room was spotlessly clean when we arrived and the room service was quite prompt whenever we needed amenities like water or towels. The staff that come in close contact with the guests always wear PPE."
"Taj West End, Bengaluru",Apr-21,Gayathri Adiga,"The first impression is the best impression and our time spent at Taj Westend was a memorable one , especially impressed with the hospitality and the beautiful ambience. At this critical situation of covid pandemic, all safety measures were taken by the staff. Appreciate them for their efforts"
,,,
Radisson Blu Hotel Indore,Oct-20,Priya Rathore,The food was spectacular. Full safety measurements were taken and everything was well sanitized.
Radisson Blu Hotel Indore,Oct-20,Deepak Kopargaonkar,… . Before booking the table is was informed that they fallow all WHO guideline. WE can have safe dinner even with elderly people over 80.
,,,
The Leela Palace Jaipur (Tulsi Palace Resort),Jun-21,Rukhsar Memon,A rendezvous of relaxation and peaceful ambience uplifts the spirit of rejuvenating oneself. My stay at The Leela Palace Jaipur was one such memorable experience. The hygiene and COVID protocols were at place to make me feel safe and …
,,,
JW Marriott Hotel Kolkata,Feb-21,PROSENJEET GHOSH,The quality of the food was absolute top notch. The ambience is also good. The security check and covid protocols were maintained. The staffs behaviour was good but the service was not up to the mark.
JW Marriott Hotel Kolkata,Apr-21,Divide By Zero,"A decent experience but not top notch, Room service and sanitization process were praiseworthy. …"
,,,
"ITC Sonar, A Luxury Collection Hotel, Kolkata",Jun-21,Shreya Gupta,… were clean and fresh. Staff was very polite and helpful. The food was amazing with plenty of choices. Special mention to IRD staff they were so kind.... The ongoing pandemic guidelines were followed by the hotel and I felt completely safe.
"ITC Sonar, A Luxury Collection Hotel, Kolkata",Jun-21,Rahul Sasmal,Excellent property and great hospitality. Completely prepared and geared up for Covid related safety protocols. From parking to entrance and elevators to room service and buffets... they've got it all covered.Will visit again. Highly …
"ITC Sonar, A Luxury Collection Hotel, Kolkata",Jun-21,Abhijit Sarkar,During this situation i feel very much safe stay. All the stuff are taking precaution enough. Nazla ma'am is very much helpful. Thanks a lot entire team. Will visit soon.
"ITC Sonar, A Luxury Collection Hotel, Kolkata",Jun-21,Harish Satija,Beautiful hotel with great service. Felt very safe and secure in this hotel as they were following all Covid 19 standards. Delicious food.
"ITC Sonar, A Luxury Collection Hotel, Kolkata",Jun-21,Sarwat Shamim,… . It was very refreshing. The atmosphere was really comfy. Regarding the Covid the hotel kept to its standard and followed all the protocols. Food service was really good. I felt very safe. Thank you ITC Hotels. Gonna visit the place again.
"ITC Sonar, A Luxury Collection Hotel, Kolkata",Jun-21,Pranith Sakilam,Very beautiful property and the staff were very friendly. Felt very safe during the covid times. All hygiene and cleanliness protocols were followed with extreme care.
"ITC Sonar, A Luxury Collection Hotel, Kolkata",Jun-21,Shakeeb Irshad,It was a very good experience. It was very refreshing. Regarding the CoVid the hotel kept to its standard and followed all the procedures. I felt very safe. Thank you ITC Hotels
"ITC Sonar, A Luxury Collection Hotel, Kolkata",Jun-21,Pranshu,Excellent place to stay. Courteous staff and follow all safety protocols. Definitely recommend a visit here when in Kolkata.
"ITC Sonar, A Luxury Collection Hotel, Kolkata",Jun-21,Harman Nagpal,Stayed at the ITC sonar hotel. I must say that this hotel felt very safe and comforting. The team took all the precautions for their guest's safety. I thank the hotel staff for their hard work.
"ITC Sonar, A Luxury Collection Hotel, Kolkata",Jun-21,Arjun patil,"In this COVID Situation, if you are looking for a safe hotel to stay in , I will recommend this hotel."
"ITC Sonar, A Luxury Collection Hotel, Kolkata",Jun-21,Manika Thapa,"Amazing stay, hospitality of the staff is as usual the best in ITC, all Covid 19 safety measures were followed"
"ITC Sonar, A Luxury Collection Hotel, Kolkata",Jun-21,kirti saraf,"This was a different stay. No holiday, no family- I was just rushing to Durgapur to look after parents affected by COVID. All I wanted this time was a comfortable and safe stay and Royal Bengal more than delivered on all counts."
"ITC Sonar, A Luxury Collection Hotel, Kolkata",Jun-21,NASIR HASSAN,Incredible experience. Good food. Keen eye on guest safety in regards to the pandemic.
"ITC Sonar, A Luxury Collection Hotel, Kolkata",Jun-21,Dibyendu Karmakar,Incredible experience. Good food. Keen eye on guest safety in regards to the pandemic.
"ITC Sonar, A Luxury Collection Hotel, Kolkata",May-21,Soujit Das,"Stay was excellent,life time experience to have such luxury and hospitality with care and hygiene with extreme safety."
"ITC Sonar, A Luxury Collection Hotel, Kolkata",Feb-21,Yash Maurya,… I've stayed in during this pandemic. The staff were really professional and everyone wore masks. The place was very well sanitized. The rooms were really clean and I felt safe. Thanks to the staff and I'd definitely recommend to everyone
"ITC Sonar, A Luxury Collection Hotel, Kolkata",May-21,soumen bhunia,It is one of the best luxury hotel in Kolkata which maintain all covid safety protocols and precautions. Have enjoyed dining in peshawri and amazing hospitality by the staff and other members.
"ITC Sonar, A Luxury Collection Hotel, Kolkata",May-21,Jeetendra Srivastava,ITC hotels are really doing great in this pandemic situation Bcz they taking all the safety precautions . The staff of the hotel giving great service by following every rule and regulations of covid.. I really enjoyed staying in ITC hotel
"ITC Sonar, A Luxury Collection Hotel, Kolkata",May-21,Souraj Pradhan,Very hygienic and safety protocol followed really seriously
,,,
ITC,Jan-21,Kumar Abhinav Chaturvedi,Had stayed at the hotel over a weekend. All safety and social distancing measures were in place. Staff was polite and helpful. Room was spacious and balcony was additional plus. Had dinner in lotus restaurant and food was tasty. Morning …
ITC,Feb-21,Ashmitha Sathish,This one’s certainly one of Bangalore’s best and I was super impressed by how they managed to create a seamless zero/minimal associate engagement system during the pandemic to ensure you have a safe stay. This stylish hotel comes with …
ITC,Mar-21,Harshita Goud,Nice experience overall!
ITC,,,"Good cleaning/safety measures taken during this pandemic period, felt safe."
ITC,,,"Lot of options in food in restaurants,offer different style of cuisines."
ITC,,,Sure to visit again 💥💥💥💥💥
ITC,Oct-21,Upayan Dutta,… when the COVID-19 lockdown was relaxed. It was very reassuring and pleasing to see the level of hospitality and facilities provided that assured safety of the guests and the hotel staff alike.
ITC,Mar-21,Debasish Maulik,Beautiful property in a central location with caring staff and covid safe environment
